Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
57;LONG;2026-02-02 23:25:00;2026-02-03 01:10:00;105.0;4861.9;83.135;4916.0;86.265;-3.52;1.96;TP_ZSCORE;2.3306;2;1;-10820.0;15650.0;4830.0;192.0;4638.0;4895.0;-1695.0;4638.0
58;LONG;2026-02-04 17:30:00;2026-02-04 19:00:00;90.0;5040.8;88.785;5024.0;88.955;-3.63;1.04;TP_ZSCORE;2.6076;2;1;3360.0;850.0;4210.0;192.0;4018.0;4575.0;0.0;8656.0
59;LONG;2026-02-05 17:30:00;2026-02-05 19:00:00;90.0;4770.6;67.79;4764.5;71.06;-4.04;2.55;TP_ZSCORE;2.9839;2;1;1220.0;16350.0;17570.0;192.0;17378.0;17570.0;-2230.0;26034.0
60;LONG;2026-02-08 17:30:00;2026-02-08 19:05:00;95.0;5057.1;79.445;5036.5;79.575;-3.98;2.21;TP_ZSCORE;3.2935;3;1;6180.0;650.0;6830.0;236.0;6594.0;6830.0;-1565.0;32628.0
