Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
1;SHORT;2023-02-14 08:20:00;2023-02-14 12:15:00;235.0;2310.2;26.737;2315.7;26.922;3.66;-1.4;TP_ZSCORE;2.0554;1;1;550.0;-925.0;-375.0;148.0;-523.0;245.0;-670.0;-523.0
2;LONG;2023-03-14 19:00:00;2023-03-14 20:35:00;95.0;2353.5;26.657;2356.0;26.777;-4.11;1.32;TP_ZSCORE;1.9825;1;1;-250.0;600.0;350.0;148.0;202.0;440.0;-75.0;-321.0
3;SHORT;2023-03-15 06:40:00;2023-03-15 08:35:00;115.0;2368.1;27.092;2370.7;27.037;3.59;-1.91;TP_ZSCORE;1.1152;1;1;260.0;275.0;535.0;148.0;387.0;535.0;-290.0;66.0
4;LONG;2023-03-27 23:55:00;2023-03-28 00:50:00;55.0;2406.2;28.022;2408.2;28.102;-3.67;1.69;TP_ZSCORE;1.2366;1;1;-200.0;400.0;200.0;148.0;52.0;200.0;-15.0;118.0
5;LONG;2023-03-29 06:00:00;2023-03-29 07:40:00;100.0;2417.1;28.307;2411.8;28.247;-3.55;1.47;TP_ZSCORE;1.43;1;1;530.0;-300.0;230.0;148.0;82.0;230.0;-370.0;200.0
6;LONG;2023-04-12 07:30:00;2023-04-12 07:50:00;20.0;2471.5;30.547;2467.7;30.622;-3.69;1.28;TP_ZSCORE;2.4598;2;1;760.0;375.0;1135.0;192.0;943.0;1135.0;0.0;1143.0
7;SHORT;2023-04-17 07:30:00;2023-04-17 09:15:00;105.0;2446.2;30.387;2436.6;30.152;3.64;-1.18;TP_ZSCORE;2.0793;1;1;-960.0;1175.0;215.0;148.0;67.0;215.0;-380.0;1210.0
8;SHORT;2023-04-19 20:30:00;2023-04-19 20:40:00;10.0;2439.2;30.327;2437.5;30.227;3.51;-2.11;TP_ZSCORE;1.1;1;1;-170.0;500.0;330.0;148.0;182.0;330.0;0.0;1392.0
9;LONG;2023-04-20 10:05:00;2023-04-20 12:15:00;130.0;2442.6;30.122;2449.9;30.267;-3.5;1.09;TP_ZSCORE;1.2304;1;1;-730.0;725.0;-5.0;148.0;-153.0;125.0;-255.0;1239.0
10;LONG;2023-04-24 00:40:00;2023-04-24 01:05:00;25.0;2418.6;29.762;2420.9;29.857;-3.78;1.37;TP_ZSCORE;1.2844;1;1;-230.0;475.0;245.0;148.0;97.0;245.0;0.0;1336.0
11;LONG;2023-04-26 06:00:00;2023-04-26 06:50:00;50.0;2440.0;29.872;2437.6;30.007;-3.86;2.03;TP_ZSCORE;1.2723;1;1;240.0;675.0;915.0;148.0;767.0;915.0;0.0;2103.0
12;LONG;2023-05-15 05:55:00;2023-05-15 07:25:00;90.0;2450.0;28.81;2449.0;28.905;-3.58;2.23;TP_ZSCORE;0.1076;1;1;100.0;475.0;575.0;148.0;427.0;575.0;-160.0;2530.0
13;LONG;2023-05-16 00:30:00;2023-05-16 02:40:00;130.0;2449.2;28.775;2442.6;28.67;-3.65;1.43;TP_ZSCORE;-0.0956;1;1;660.0;-525.0;135.0;148.0;-13.0;135.0;-265.0;2517.0
14;SHORT;2023-05-29 20:20:00;2023-05-29 21:35:00;75.0;2373.5;28.0;2374.7;27.98;3.58;-1.27;TP_ZSCORE;1.1937;1;1;120.0;100.0;220.0;148.0;72.0;220.0;-100.0;2589.0
15;LONG;2023-06-11 20:00:00;2023-06-12 00:05:00;245.0;2384.7;28.945;2384.4;28.92;-3.81;2.92;TP_ZSCORE;1.265;1;1;30.0;-125.0;-95.0;148.0;-243.0;85.0;-250.0;2346.0
16;LONG;2023-06-14 20:00:00;2023-06-14 22:35:00;155.0;2360.6;28.44;2359.9;28.215;-3.7;1.31;TP_ZSCORE;0.6925;1;1;70.0;-1125.0;-1055.0;148.0;-1203.0;0.0;-1200.0;1143.0
17;SHORT;2023-06-15 20:00:00;2023-06-15 23:25:00;205.0;2381.9;28.665;2380.1;28.645;3.9;-1.03;TP_ZSCORE;1.0977;1;1;-180.0;100.0;-80.0;148.0;-228.0;220.0;-195.0;915.0
18;LONG;2023-07-17 00:10:00;2023-07-17 02:10:00;120.0;2370.0;29.525;2368.6;29.52;-3.61;1.22;TP_ZSCORE;3.6808;2;1;280.0;-25.0;255.0;192.0;63.0;255.0;-330.0;978.0
19;LONG;2023-07-27 08:00:00;2023-07-27 10:05:00;125.0;2367.5;29.225;2355.9;28.79;-3.51;1.1;TP_ZSCORE;1.4412;1;1;1160.0;-2175.0;-1015.0;148.0;-1163.0;215.0;-1435.0;-185.0
20;SHORT;2023-08-25 09:30:00;2023-08-25 11:30:00;120.0;2307.4;28.56;2309.7;28.66;3.83;-1.24;TP_ZSCORE;2.3414;1;1;230.0;-500.0;-270.0;148.0;-418.0;355.0;-405.0;-603.0
21;SHORT;2023-09-14 07:30:00;2023-09-14 09:05:00;95.0;2295.5;26.86;2294.9;26.735;3.64;-1.1;TP_ZSCORE;3.418;2;1;-120.0;625.0;505.0;192.0;313.0;560.0;-50.0;-290.0
22;SHORT;2023-09-26 07:35:00;2023-09-26 10:35:00;180.0;2296.4;27.3;2294.7;27.295;3.56;-1.02;TP_ZSCORE;2.5664;2;1;-340.0;25.0;-315.0;192.0;-507.0;315.0;-615.0;-797.0
23;SHORT;2023-09-28 17:30:00;2023-09-28 19:00:00;90.0;2254.2;26.985;2255.9;27.005;3.59;-1.31;TP_ZSCORE;1.1286;1;1;170.0;-100.0;70.0;148.0;-78.0;70.0;-120.0;-875.0
24;SHORT;2023-10-06 07:45:00;2023-10-08 17:30:00;3465.0;2198.3;25.27;2234.0;26.045;3.66;-4.19;TP_ZSCORE;1.9996;1;1;3570.0;-3875.0;-305.0;148.0;-453.0;385.0;-1150.0;-1328.0
25;LONG;2023-10-08 17:30:00;2023-10-08 19:10:00;100.0;2234.0;26.045;2233.6;26.12;-4.19;1.17;TP_ZSCORE;1.9956;1;1;40.0;375.0;415.0;148.0;267.0;435.0;-100.0;-1061.0
26;LONG;2023-10-22 17:30:00;2023-10-22 19:10:00;100.0;2361.8;27.545;2355.1;27.435;-3.85;1.48;TP_ZSCORE;1.0365;1;1;670.0;-550.0;120.0;148.0;-28.0;125.0;-195.0;-1089.0
27;SHORT;2023-11-03 07:30:00;2023-11-03 11:05:00;215.0;2379.7;27.18;2371.5;27.36;4.15;-1.17;TP_ZSCORE;0.8655;1;1;-820.0;-900.0;-1720.0;148.0;-1868.0;0.0;-2000.0;-2957.0
28;SHORT;2023-11-14 07:30:00;2023-11-14 12:00:00;270.0;2333.4;26.91;2339.4;27.275;3.8;-1.04;TP_ZSCORE;1.2626;1;1;600.0;-1825.0;-1225.0;148.0;-1373.0;210.0;-1385.0;-4330.0
29;SHORT;2023-11-19 17:55:00;2023-11-19 18:35:00;40.0;2349.1;27.79;2350.3;27.78;3.59;-1.65;TP_ZSCORE;2.3889;1;1;120.0;50.0;170.0;148.0;22.0;180.0;0.0;-4308.0
30;LONG;2023-11-29 07:00:00;2023-11-29 07:50:00;50.0;2413.1;29.04;2412.4;29.135;-3.52;1.57;TP_ZSCORE;1.8921;1;1;70.0;475.0;545.0;148.0;397.0;545.0;-165.0;-3911.0
31;LONG;2023-12-12 18:00:00;2023-12-12 19:55:00;115.0;2348.5;26.853;2346.8;26.803;-4.17;1.4;TP_ZSCORE;1.8992;1;1;170.0;-250.0;-80.0;148.0;-228.0;20.0;-175.0;-4139.0
32;LONG;2023-12-14 17:30:00;2023-12-14 18:05:00;35.0;2404.1;28.213;2400.5;28.168;-3.54;1.06;TP_ZSCORE;2.1853;1;1;360.0;-225.0;135.0;148.0;-13.0;135.0;-20.0;-4152.0
33;SHORT;2023-12-15 12:15:00;2023-12-17 17:30:00;3195.0;2389.6;27.928;2382.8;27.798;3.89;-2.78;TP_ZSCORE;2.0939;1;1;-680.0;650.0;-30.0;148.0;-178.0;0.0;-395.0;-4330.0
34;LONG;2023-12-28 17:30:00;2023-12-28 22:05:00;275.0;2427.4;27.923;2430.7;27.843;-3.96;1.86;TP_ZSCORE;0.5967;1;1;-330.0;-400.0;-730.0;148.0;-878.0;90.0;-840.0;-5208.0
35;SHORT;2024-01-09 07:20:00;2024-01-09 07:35:00;15.0;2390.1;27.068;2396.2;27.158;3.58;-1.35;TP_ZSCORE;2.535;1;1;610.0;-450.0;160.0;148.0;12.0;210.0;0.0;-5196.0
36;LONG;2024-01-10 04:00:00;2024-01-10 06:40:00;160.0;2396.4;27.033;2389.9;26.888;-3.57;2.11;TP_ZSCORE;2.3771;1;1;650.0;-725.0;-75.0;148.0;-223.0;15.0;-270.0;-5419.0
37;SHORT;2024-01-28 17:30:00;2024-01-28 18:25:00;55.0;2375.6;26.793;2371.1;26.683;3.73;-1.17;TP_ZSCORE;1.2516;1;1;-450.0;550.0;100.0;148.0;-48.0;100.0;-130.0;-5467.0
38;SHORT;2024-03-12 19:00:00;2024-03-12 20:35:00;95.0;2495.1;27.869;2495.7;27.864;4.2;-1.49;TP_ZSCORE;0.0529;1;1;60.0;25.0;85.0;148.0;-63.0;85.0;-30.0;-5530.0
39;SHORT;2024-03-31 17:30:00;2024-03-31 20:45:00;195.0;2570.7;28.704;2587.8;28.799;4.04;-2.3;TP_ZSCORE;-0.0141;1;1;1710.0;-475.0;1235.0;148.0;1087.0;1235.0;-235.0;-4443.0
40;SHORT;2024-04-01 17:30:00;2024-04-02 00:50:00;440.0;2585.3;28.804;2583.7;28.964;3.54;-1.06;TP_ZSCORE;0.2029;1;1;-160.0;-800.0;-960.0;148.0;-1108.0;0.0;-1000.0;-5551.0
41;SHORT;2024-04-03 17:30:00;2024-04-03 18:35:00;65.0;2631.5;30.864;2629.3;30.764;3.88;-1.51;TP_ZSCORE;1.0375;1;1;-220.0;500.0;280.0;148.0;132.0;280.0;0.0;-5419.0
42;SHORT;2024-04-10 07:30:00;2024-04-10 09:05:00;95.0;2658.8;31.469;2673.0;31.714;3.82;-1.21;TP_ZSCORE;1.9895;1;1;1420.0;-1225.0;195.0;148.0;47.0;525.0;-300.0;-5372.0
43;SHORT;2024-04-11 00:05:00;2024-04-11 05:10:00;305.0;2670.5;31.664;2663.2;31.599;3.61;-1.0;TP_ZSCORE;2.1018;1;1;-730.0;325.0;-405.0;148.0;-553.0;340.0;-585.0;-5925.0
44;LONG;2024-04-18 20:30:00;2024-04-18 20:45:00;15.0;2732.3;32.179;2739.9;32.519;-3.77;1.75;TP_ZSCORE;1.5247;1;1;-760.0;1700.0;940.0;148.0;792.0;940.0;-0.0;-5133.0
45;LONG;2024-04-21 22:15:00;2024-04-22 02:45:00;270.0;2689.4;31.514;2683.6;31.359;-4.05;1.0;TP_ZSCORE;1.1795;1;1;580.0;-775.0;-195.0;148.0;-343.0;50.0;-570.0;-5476.0
46;LONG;2024-04-26 14:20:00;2024-04-28 17:30:00;3070.0;2658.9;30.714;2658.0;30.759;-3.5;1.51;TP_ZSCORE;1.6655;1;1;90.0;225.0;315.0;148.0;167.0;315.0;-100.0;-5309.0
