,trades,pnl_total,pnl_avg,pnl_median,win_rate,max_gain,max_loss,duration_avg
LONG,57.0,27318.0,479.3,52.0,52.6,16743.0,-2662.0,175.6
SHORT,43.0,17906.0,416.4,22.0,53.5,9400.0,-2138.0,287.6
